ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
abd el-halim et al., 2005|Abd El-Halim, A.S. & Mostafa, A.A. & Allam, K.A.M.|2005|Dipterous flies species and their densities in fourteen Egyptian governorates.|351-362|35|J. Egypt. Soc. Parasitol.|pdf|||||
abdullah et al., 2009|Abdallah, K. & Khan, S.M. & Yasmin, S. & Gowen, S. & Khattak, M.K. & Kiani, A.R. & Ukeh, D.A.|2009|Progeny Estimation of Different Entomopathogenic Nematodes in Full Fed Larvae of Fruit Flies Drosophila Sp. (Drosophilidae: Diptera).|981-985|3|Life Sci. Int. J.|pdf|||||
aboim et al., 1949|Aboim, A.N. & Tordo, G.C. & Ferreira, G.V.|1949|Toxicite du chlordane (Velsicole 1068) sur plusieurs insectes qui ravagent les substances emmagasinees.|34-52|17|Bolm Soc. port. Cienc. nat.|pdf / part / xsn 216h|||||
aboim, 1945|Aboim, A.N.|1945|Developpement embryonnaire et post-embryonnaire des gonades normales et agametiques de Drosophila melanogaster.|53-154|52|Revue suisse Zool.|pdf / part / ii.1945|1945-02-31||||
abou et al., 1983|Abou-Youssef, A.Y. & Youssef, M.K. & Riad, S.A. & Badr, E.A.|1983|Seasonal fluctuations of esterase-6 allelic frequencies of Drosophila melanogaster in an area heavily sprayed with insecticides.|17-30|12|Egypt. J. Genet. Cytol.|pdf / p 814978 / i.1983|1983-01-31|p 814978|||
abou, 1978|Abou-Youssef, A.Y.|1978|Genetic studies on isozyme polymorphism in Drosophila: I. Survey of D. virilis natural populations for amylase isozymes.|56-68|7|Egypt. J. Genet. Cytol.|pdf / part / p 814978 / i.1978|1978-01-31|p 814978|||
abou, 1979|Abou-Youssef, A.Y.|1979|Genetic studies on isozyme polymorphism in Drosophila. II. Gene frequency changes at the amylase locus in cage population of D. virilis.|80-94|8|Egypt. J. Genet. Cytol.|pdf / part / p 814978 / i.1979|1979-01-31|p 814978|||
aboul-nasr, 1953|Aboul-Nasr, A.|1953|On the effect of Carbon Tetrachloride upon etherized Drosophila virilis.|121-126|37|Bull. Soc. Fouad Ent.|pdf|||||
aboul-nasr, 1954a|Aboul-Nasr, A.|1954|The effect of carbon-dioxide upon the wing-beat frequency of Drosophila virilis Sturtevant (1916).|1-17|38|Bull. Soc. Fouad Ent.|pdf / seg 02|||||
aboul-nasr, 1954b|Aboul-Nasr, A.|1954|The effect of carbon-tetrachloride upon the wing-beat frequency of Drosophila virilis Sturtevant (1916).|19-31|38|Bull. Soc. Fouad Ent.|pdf / seg 02|||||
abraham & doane, 1974|Abraham, I. & Doane, W.W.|1974|Alpha-amylase in developing midguts of Drosophila: cellular and intracellular localization.|1||A. Mtng Am. Soc. Cell Biol. 14 Abstr., 0|pdf|||||
abrusan & krambeck, 2006|Abrusan, G. & Krambeck, H.-J.|2006|Competition may determine the diversity of transposable elements.|364-375|70|Theoret. Pop. Biol.|pdf|||||
acheampong, 2009|Acheampong, S.|2009|Spotted Wing Drosophila (Fruit Fly) Pest Alert.|||online:www.agf.gov.bc.ca/|pdf|||||
achterberg, 1976|van Achterberg, C.|1976|A new species of Tanycarpa Foerster from England (Hymenoptera, Braconidae, Alysiinae).|12-15|36|Ent. Ber., Amst.|pdf / part / seg 362 / 1.i.1976|1976-01-01||||
achumi et al., 2011|Achumi, R. & Lal, P. & Yenisetti, S.C.|2011|Drosophila hegdii, a new species of Drosophila (Diptera: Drosophilidae) from Lumami (Nagaland: India).|1-6|36|Entomon||||||
achumi et al., 2013|Achumi, B. & Hegde, S.N. & Lal, P. & Yenisetti, S.C.|2013|Altitudinal and seasonal variation in Drosophila species on mount Japfu of Nagaland, a sub-Himalayan hilly state of India.|1-12|13|J. Insect Sci.|pdf|||117||
ackerman & shenefelt, 1973|Ackerman, J.K. & Shenefelt, R.D.|1973|Organisms, especially insects, associated with wood rotting higher fungi (Basidiomycetes) in Wisconsin forests.|185-206|61|Trans. Wisc. Acad. Sci.|pdf / part / bot 48:61|||||
ackland & taylor, 1972|Ackland, D.M. & Taylor, E.|1972|Notes on the Verrall-Collin collection of Diptera in the Hope Department of Entomology, University Museum, Oxford.|12-15|108|Ent. mon. Mag.|pdf / p 811785 / 27.ix.1972|1972-09-27|p 811785|||
acloque, 1897|Acloque, A.|1897|Faune de France contenant la description des especes indigenes, disposees en tableaux analytiques et illustree de figures representant les types caracteristiques des genres. Orthopteres, Nevropteres, Hymenopteres, Lepidopteres, Hemipteres, Dipteres, Aphanipteres, Thysanopteres, Rhipipteres.|||Bailliere|pdf / part|||||
acosta et al., 1995|Acosta, T. & Pinto, F. & Hernandez, M. & Gonzalez, A.M. & Cabrera, V.M. & Larruga, J.M.|1995|Phylogeny of the Drosophila obscura group as inferred from one- and two-dimensional protein electrophoresis.|101-108|33|J. Zool. Syst. Evol. Res.|pdf|||||
acurio & rafael, 2009a|Acurio, A.E. & Rafael, V.L.|2009|Inventario Taxonomico de Drosophilidae (Diptera) en el Parque Nacional Yasuni, Amazonia Ecuatoriana.|713-718|39|Acta Amazon.|pdf|||||
acurio & rafael, 2009b|Acurio, A. & Rafael, V.|2009|Diversity and geographical distribution of Drosophila (Diptera, Drosophilidae) in Ecuador.|20-25|92|D. I. S.|pdf / 31.XII.2009 / 2009b|||||
